iter	Passed	Remaining
0	6	6284
1	12	6053
2	17	5716
3	22	5599
4	28	5663
5	34	5653
6	38	5529
7	43	5451
8	49	5494
9	55	5466
10	60	5401
11	65	5371
12	70	5384
13	91	6454
14	105	6899
15	120	7382
16	132	7659
17	143	7819
18	160	8268
19	173	8507
20	178	8323
21	184	8184
22	189	8035
23	194	7897
24	199	7795
25	205	7688
26	211	7605
27	216	7504
28	221	7426
29	226	7335
30	231	7243
31	236	7160
32	241	7079
33	246	7005
34	251	6947
35	257	6889
36	262	6825
37	267	6761
38	293	7221
39	312	7508
40	329	7710
41	340	7773
42	357	7957
43	376	8182
44	381	8103
45	387	8029
46	392	7951
47	397	7875
48	402	7806
49	407	7743
50	412	7680
51	418	7623
52	423	7562
53	428	7509
54	433	7449
55	438	7396
56	444	7347
57	450	7309
58	455	7257
59	460	7215
60	465	7170
61	470	7122
62	475	7074
63	480	7032
64	485	6988
65	491	6950
66	496	6917
67	522	7160
68	542	7317
69	559	7427
70	576	7538
71	590	7610
72	601	7643
73	607	7597
74	612	7551
75	618	7516
76	623	7472
77	628	7430
78	633	7387
79	638	7346
80	644	7315
81	649	7274
82	655	7238
83	660	7198
84	665	7163
85	670	7129
86	675	7093
87	681	7057
88	686	7022
89	691	6992
90	713	7129
91	730	7208
92	750	7320
93	767	7399
94	781	7440
95	800	7535
96	805	7499
97	811	7466
98	816	7435
99	822	7398
100	827	7368
101	833	7334
102	838	7298
103	843	7268
104	848	7234
105	853	7202
106	859	7171
107	864	7140
108	869	7110
109	875	7081
110	880	7053
111	886	7027
112	891	6997
113	897	6971
114	902	6942
115	907	6913
116	912	6884
117	917	6857
118	934	6916
119	951	6975
120	974	7075
121	988	7111
122	1005	7169
123	1022	7224
124	1028	7198
125	1034	7174
126	1039	7146
127	1044	7116
128	1050	7090
129	1055	7063
130	1060	7035
131	1065	7006
132	1070	6976
133	1075	6952
134	1081	6927
135	1086	6902
136	1092	6879
137	1097	6852
138	1106	6851
139	1111	6827
140	1116	6803
141	1121	6778
142	1153	6915
143	1170	6959
144	1191	7023
145	1202	7033
146	1221	7088
147	1226	7061
148	1232	7039
149	1240	7028
150	1245	7005
151	1252	6985
152	1257	6961
153	1263	6940
154	1269	6918
155	1274	6894
156	1279	6870
157	1285	6848
158	1290	6825
159	1295	6802
160	1300	6777
161	1306	6755
162	1310	6730
163	1316	6710
164	1330	6732
165	1346	6766
166	1370	6834
167	1390	6884
168	1406	6915
169	1422	6947
170	1428	6925
171	1434	6907
172	1440	6884
173	1445	6861
174	1450	6838
175	1455	6815
176	1460	6792
177	1466	6772
178	1472	6752
179	1477	6731
180	1483	6711
181	1488	6692
182	1494	6671
183	1499	6650
184	1504	6629
185	1509	6607
186	1515	6586
187	1520	6565
188	1543	6621
189	1563	6666
190	1581	6698
191	1598	6727
192	1615	6755
193	1628	6766
194	1634	6745
195	1639	6725
196	1645	6706
197	1650	6687
198	1656	6667
199	1661	6646
200	1666	6625
201	1671	6603
202	1676	6582
203	1681	6562
204	1687	6542
205	1692	6521
206	1697	6502
207	1702	6481
208	1707	6463
209	1712	6443
210	1718	6425
211	1735	6450
212	1755	6484
213	1772	6508
214	1791	6542
215	1808	6563
216	1824	6584
217	1830	6565
218	1835	6547
219	1841	6528
220	1847	6512
221	1852	6492
222	1857	6472
223	1863	6454
224	1868	6434
225	1873	6416
226	1878	6396
227	1883	6378
228	1888	6359
229	1893	6340
230	1899	6322
231	1904	6305
232	1909	6286
233	1915	6270
234	1920	6252
235	1940	6282
236	1957	6302
237	1981	6344
238	2001	6372
239	2021	6401
240	2030	6393
241	2035	6375
242	2041	6358
243	2045	6339
244	2051	6320
245	2056	6302
246	2061	6285
247	2067	6268
248	2072	6250
249	2077	6232
250	2082	6214
251	2087	6197
252	2093	6180
253	2098	6163
254	2103	6146
255	2109	6130
256	2114	6114
257	2120	6098
258	2131	6098
259	2151	6123
260	2175	6159
261	2199	6195
262	2216	6210
263	2230	6218
264	2236	6202
265	2242	6186
266	2247	6169
267	2252	6151
268	2257	6135
269	2262	6118
270	2267	6100
271	2273	6084
272	2278	6068
273	2284	6051
274	2289	6035
275	2294	6018
276	2299	6001
277	2304	5985
278	2310	5969
279	2315	5954
280	2320	5938
281	2331	5937
282	2351	5958
283	2372	5980
284	2392	6002
285	2412	6022
286	2428	6032
287	2434	6017
288	2439	6001
289	2444	5984
290	2449	5967
291	2454	5952
292	2460	5936
293	2465	5920
294	2470	5904
295	2475	5888
296	2480	5871
297	2485	5855
298	2490	5839
299	2495	5823
300	2501	5809
301	2506	5794
302	2512	5779
303	2517	5763
304	2522	5747
305	2533	5745
306	2553	5763
307	2569	5773
308	2593	5799
309	2609	5809
310	2629	5825
311	2634	5810
312	2640	5795
313	2645	5780
314	2651	5765
315	2656	5750
316	2662	5736
317	2666	5719
318	2672	5705
319	2678	5691
320	2683	5676
321	2688	5661
322	2694	5647
323	2699	5633
324	2705	5619
325	2711	5605
326	2716	5590
327	2721	5576
328	2727	5561
329	2746	5577
330	2767	5593
331	2787	5608
332	2804	5617
333	2815	5614
334	2834	5626
335	2840	5612
336	2845	5599
337	2851	5584
338	2855	5568
339	2861	5554
340	2866	5540
341	2871	5525
342	2876	5510
343	2881	5495
344	2886	5480
345	2891	5466
346	2897	5452
347	2902	5438
348	2908	5425
349	2913	5410
350	2918	5396
351	2923	5382
352	2929	5369
353	2945	5375
354	2965	5388
355	2986	5401
356	3005	5414
357	3025	5426
358	3036	5422
359	3041	5407
360	3047	5394
361	3052	5380
362	3058	5366
363	3064	5354
364	3070	5341
365	3075	5326
366	3080	5313
367	3086	5299
368	3091	5286
369	3097	5273
370	3102	5260
371	3107	5246
372	3113	5233
373	3118	5219
374	3124	5206
375	3129	5194
376	3150	5206
377	3170	5216
378	3187	5222
379	3204	5228
380	3226	5241
381	3237	5237
382	3244	5226
383	3249	5212
384	3255	5200
385	3260	5186
386	3265	5172
387	3270	5159
388	3276	5145
389	3282	5133
390	3287	5119
391	3292	5106
392	3298	5094
393	3303	5081
394	3308	5067
395	3314	5054
396	3318	5041
397	3324	5027
398	3329	5015
399	3343	5014
400	3363	5024
401	3383	5032
402	3403	5041
403	3414	5037
404	3430	5040
405	3441	5035
406	3447	5022
407	3452	5009
408	3458	4996
409	3463	4983
410	3468	4970
411	3473	4957
412	3478	4944
413	3483	4931
414	3489	4918
415	3494	4905
416	3499	4891
417	3504	4879
418	3509	4866
419	3514	4853
420	3520	4841
421	3525	4828
422	3531	4816
423	3536	4803
424	3541	4790
425	3546	4778
426	3566	4785
427	3586	4793
428	3603	4795
429	3615	4792
430	3634	4798
431	3653	4803
432	3658	4790
433	3664	4779
434	3670	4767
435	3675	4754
436	3680	4742
437	3686	4730
438	3692	4718
439	3697	4705
440	3702	4693
441	3707	4680
442	3712	4668
443	3718	4656
444	3723	4643
445	3728	4631
446	3734	4619
447	3739	4607
448	3745	4596
449	3750	4583
450	3767	4586
451	3787	4592
452	3811	4601
453	3830	4607
454	3847	4608
455	3859	4603
456	3864	4591
457	3869	4579
458	3875	4567
459	3881	4556
460	3886	4544
461	3892	4532
462	3897	4520
463	3903	4509
464	3908	4496
465	3913	4484
466	3919	4472
467	3924	4461
468	3929	4449
469	3935	4437
470	3940	4425
471	3945	4413
472	3950	4401
473	3965	4400
474	3985	4404
475	4001	4405
476	4021	4409
477	4038	4410
478	4054	4409
479	4062	4401
480	4068	4389
481	4074	4378
482	4078	4365
483	4084	4354
484	4089	4342
485	4093	4329
486	4099	4317
487	4104	4306
488	4109	4294
489	4114	4282
490	4119	4270
491	4124	4259
492	4130	4247
493	4135	4235
494	4141	4224
495	4146	4212
496	4151	4201
497	4156	4189
498	4180	4197
499	4198	4198
500	4218	4201
501	4229	4195
502	4245	4194
503	4261	4194
504	4267	4182
505	4273	4171
506	4278	4160
507	4284	4149
508	4289	4138
509	4294	4126
510	4300	4114
