iter	Passed	Remaining
0	5	508
1	10	494
2	18	586
3	26	640
4	32	619
5	37	585
6	42	559
7	46	532
8	50	514
9	55	503
10	60	486
11	64	472
12	82	550
13	86	532
14	91	515
15	95	501
16	100	492
17	105	480
18	109	468
19	114	457
20	118	445
21	122	433
22	126	423
23	130	414
24	135	405
25	139	396
26	143	388
27	148	381
28	152	373
29	156	366
30	161	358
31	165	352
32	169	345
33	174	337
34	178	330
35	182	323
36	186	317
37	191	311
38	195	305
39	199	299
40	204	293
41	208	287
42	212	282
43	217	276
44	221	270
45	225	265
46	230	259
47	234	254
48	239	248
49	243	243
50	247	237
51	251	232
52	255	226
53	259	221
54	263	215
55	268	210
56	272	205
57	276	199
58	280	194
59	284	189
60	288	184
61	292	179
62	297	174
63	301	169
64	305	164
65	309	159
66	314	154
67	318	149
68	322	144
69	326	140
70	330	135
71	334	130
72	338	125
73	342	120
74	346	115
75	350	110
76	354	106
77	358	101
78	362	96
79	366	91
80	370	86
81	374	82
82	378	77
83	382	72
84	386	68
85	390	63
86	394	58
87	398	54
88	402	49
89	406	45
90	410	40
91	415	36
92	419	31
93	423	27
94	427	22
95	431	17
96	435	13
97	439	8
98	442	4
99	446	0
